user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
Harmars,2分,一般,景色5,趣味4,性价比2,导游对天坛进出口不太熟悉导致进门沟通耽误时间，导游对天坛的介绍口吃也不太清楚，大人和孩子听的都不想看了，本来希望有专业导游可以生动介绍让孩子们对天坛和中国文化感兴趣，结果很失望！与之前故宫导游差距很大，这像是临时找到导游来凑数的！,IP属地:北京,,,,,天坛公园差评
?? 拾柒可爱多??,1分,不佳,景色5,趣味3,性价比1,不要团这个讲解，直接在官网上买票，可以进去自行玩，讲解啥也没讲个明白，浪费时间还没让看到主要的景点，带孩子的千万不要团，儿童不要门票，直接在官网买票很便宜。,IP属地:陕西,,,,,天坛公园差评
M46****8085,1分,不佳,景色1,趣味1,性价比1,成人联票34元，收费88元（未成年人55元）是什么意思？,IP属地:北京,,,,,天坛公园差评
M57****210,1分,不佳,景色1,趣味1,性价比1,老人和小孩进天坛公园是免票的，商家没有写清楚，害我多买了两个订单（标题说明是包括门票的），多花了110元。商家解释说人工讲解一个人要收55元，不包括门票，这也太不合理了，投诉也不给退款，差评,,,,,,天坛公园差评
M50****733,2分,一般,景色2,趣味2,性价比2,宏伟的天坛，值得纪念的我们深厚的文化底蕴！,,,,,,天坛公园差评
kiko小胖子,1分,不佳,景色5,趣味1,性价比1,性价比极低……导游也一般,,,,,,天坛公园差评
M51****293,1分,不佳,景色1,趣味1,性价比1,失望，讲解贵,,,,,,天坛公园差评
M48****8174,1分,不佳,景色1,趣味1,性价比1,买了导游解说   却没享受到    五个人五个导游   一个都没享受到   一个人没去退票却不给退解说   两个八十岁的老人  花了110块钱门票  也不给退  说什么是解说的钱   再也不会去   收费不合理  不告知,,,,,,天坛公园差评
z****95,1分,不佳,景色1,趣味1,性价比1,根本没导游讲解 就是一**,,,,,,天坛公园差评
ste****uo,1分,不佳,景色5,趣味5,性价比1,"天坛景区值得一看，但携程买的天坛门票+讲解很坑人，买了拿身份证进不了景区，退票后扣一半费用，携程在线客服和电话总是机器应付你，根本没有人工客服入口。携程门票的体验实在太差了！！！
【性价比】",,,,,,天坛公园差评
